,",Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]"
4995,"4995,1377815295,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
4996,"4996,1377815595,4,11703.99824,73.149989,0.625,67108864.0,0.0,0.0,0.9285714285714286,0.0,1.0"
4997,"4997,1377815895,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
4998,"4998,1377816195,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
4999,"4999,1377816495,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0666666666666666,1.0"
5000,"5000,1377816795,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5001,"5001,1377817095,4,11703.99824,81.50998774285715,0.6964285714285714,67108864.0,0.0,0.0,0.8571428571428571,0.0,1.0"
5002,"5002,1377817395,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
5003,"5003,1377817694,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0"
5004,"5004,1377817994,4,11703.99824,66.87998994285715,0.5714285714285715,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5005,"5005,1377818294,4,11703.99824,71.05998931428573,0.6071428571428572,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5006,"5006,1377818594,4,11703.99824,68.96998962857144,0.5892857142857143,67108864.0,0.0,0.0,1.0714285714285714,0.0,1.0714285714285714"
5007,"5007,1377818894,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5008,"5008,1377819194,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.8,0.0,0.9333333333333332"
5009,"5009,1377819494,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0"
5010,"5010,1377819794,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,178956.8,0.0,1.3333333333333333,0.0,1.0666666666666669"
5011,"5011,1377820094,4,11703.99824,64.78999025714285,0.5535714285714285,67108864.0,143804.57142857142,0.0,0.7142857142857143,0.0,1.0"
5012,"5012,1377820394,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5013,"5013,1377820694,4,11703.99824,77.32998837142857,0.6607142857142857,67108864.0,143804.57142857142,0.0,0.7142857142857143,0.0,1.0"
5014,"5014,1377820994,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,357913.6,0.0,0.8,0.0,1.0"
5015,"5015,1377821294,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5016,"5016,1377821594,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5017,"5017,1377821894,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5018,"5018,1377822194,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5019,"5019,1377822494,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5020,"5020,1377822794,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.1333333333333333,0.0,0.9333333333333332"
5021,"5021,1377823094,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5022,"5022,1377823394,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5023,"5023,1377823694,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5024,"5024,1377823994,4,11703.99824,62.69999057142857,0.5357142857142857,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5025,"5025,1377824294,4,11703.99824,73.149989,0.625,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5026,"5026,1377824595,4,11703.99824,76.07598856,0.65,67108864.0,0.0,8.533333333333333,3.4,0.0,1.0666666666666669"
5027,"5027,1377824895,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.0,0.0,1.0"
5028,"5028,1377825195,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.8,0.0,1.0"
5029,"5029,1377825495,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5030,"5030,1377825795,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5031,"5031,1377826095,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5032,"5032,1377826395,4,11703.99824,71.05998931428573,0.6071428571428572,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5033,"5033,1377826695,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5034,"5034,1377826995,4,11703.99824,64.78999025714285,0.5535714285714285,67108864.0,0.0,0.0,1.4285714285714286,0.1428571428571428,1.0714285714285714"
5035,"5035,1377827295,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5036,"5036,1377827595,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5037,"5037,1377827895,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5038,"5038,1377828195,4,11703.99824,75.2399886857143,0.6428571428571429,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5039,"5039,1377828495,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
5040,"5040,1377828795,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5041,"5041,1377829095,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5042,"5042,1377829395,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,223696.0,0.0,0.8,0.0,1.0"
5043,"5043,1377829695,4,11703.99824,70.22398944000001,0.6,67108864.0,89478.4,0.0,0.6666666666666666,0.0,1.0"
5044,"5044,1377829995,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5045,"5045,1377830295,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5046,"5046,1377830595,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
5047,"5047,1377830895,4,11703.99824,66.87998994285715,0.5714285714285715,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5048,"5048,1377831195,4,11703.99824,64.37199032000001,0.55,67108864.0,134217.6,0.0,0.6666666666666666,0.0,1.0"
5049,"5049,1377831495,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5050,"5050,1377831795,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5051,"5051,1377832095,4,11703.99824,62.69999057142857,0.5357142857142857,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5052,"5052,1377832395,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5053,"5053,1377832695,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5054,"5054,1377832995,4,11703.99824,71.05998931428573,0.6071428571428572,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5055,"5055,1377833295,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5056,"5056,1377833595,4,11703.99824,70.22398944000001,0.6,67108864.0,134217.6,0.0,0.6666666666666666,0.0,1.0"
5057,"5057,1377833895,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5058,"5058,1377834195,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.2666666666666666,0.0,1.0666666666666669"
5059,"5059,1377834495,4,11703.99824,68.96998962857144,0.5892857142857143,67108864.0,0.0,0.0,0.7142857142857143,0.0,1.0"
5060,"5060,1377834795,4,11703.99824,83.59998742857144,0.7142857142857143,67108864.0,0.0,0.0,0.8571428571428571,0.0,1.0"
5061,"5061,1377835095,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5062,"5062,1377835395,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6,0.0,1.0"
5063,"5063,1377835695,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
5064,"5064,1377835996,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5065,"5065,1377836296,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
5066,"5066,1377836596,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5067,"5067,1377836896,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6,0.0,1.0"
5068,"5068,1377837196,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5069,"5069,1377837496,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5070,"5070,1377837796,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6,0.0,1.0"
5071,"5071,1377838096,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5072,"5072,1377838396,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5073,"5073,1377838696,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6,0.0,1.0"
5074,"5074,1377838996,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
5075,"5075,1377839296,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
5076,"5076,1377839596,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6,0.0,1.0"
5077,"5077,1377839896,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5078,"5078,1377840196,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5079,"5079,1377840496,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.2666666666666666,0.0,1.0666666666666669"
5080,"5080,1377840796,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5081,"5081,1377841096,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5082,"5082,1377841396,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5083,"5083,1377841696,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
5084,"5084,1377841996,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0666666666666669"
5085,"5085,1377842296,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5086,"5086,1377842596,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0"
5087,"5087,1377842896,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,14.066666666666666,0.0,1.0"
5088,"5088,1377843196,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5089,"5089,1377843496,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5090,"5090,1377843796,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0"
5091,"5091,1377844096,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5092,"5092,1377844396,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6,0.0,1.0"
5093,"5093,1377844696,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5094,"5094,1377844997,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
5095,"5095,1377845297,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5096,"5096,1377845597,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5097,"5097,1377845897,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.9333333333333331,0.0,1.0"
5098,"5098,1377846197,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5099,"5099,1377846497,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0"
5100,"5100,1377846797,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5101,"5101,1377847097,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0"
5102,"5102,1377847397,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
5103,"5103,1377847697,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5104,"5104,1377847997,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5105,"5105,1377848297,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5106,"5106,1377848597,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
5107,"5107,1377848897,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,223696.0,0.0,0.8666666666666667,0.0,1.0666666666666669"
5108,"5108,1377849197,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.0,0.6,0.0,1.0"
5109,"5109,1377849497,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6,0.0,1.0"
5110,"5110,1377849797,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6,0.0,1.0"
5111,"5111,1377850097,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5112,"5112,1377850397,4,11703.99824,85.82932042666667,0.7333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5113,"5113,1377850696,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5114,"5114,1377850996,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.8,0.0,1.0"
5115,"5115,1377851296,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6,0.0,1.0"
5116,"5116,1377851596,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,1.0"
5117,"5117,1377851896,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6,0.0,1.0"
5118,"5118,1377852196,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5119,"5119,1377852496,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.6,0.0,1.0"
5120,"5120,1377852796,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6,0.0,1.0"
5121,"5121,1377853096,4,11703.99824,70.22398944000001,0.6,67108864.0,223696.0,0.0,1.1333333333333333,0.0,1.0666666666666669"
5122,"5122,1377853396,4,11703.99824,64.37199032000001,0.55,67108864.0,134217.6,0.0,0.6666666666666666,0.0,1.0"
5123,"5123,1377853696,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.0,0.6,0.0,0.9333333333333332"
5124,"5124,1377853996,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5125,"5125,1377854297,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5126,"5126,1377854597,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5127,"5127,1377854897,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.8,0.0,1.0"
5128,"5128,1377855197,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5129,"5129,1377855497,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
5130,"5130,1377855797,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
5131,"5131,1377856097,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
5132,"5132,1377856397,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5133,"5133,1377856697,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5134,"5134,1377856997,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0"
5135,"5135,1377857297,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5136,"5136,1377857597,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5137,"5137,1377857897,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5138,"5138,1377858197,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5139,"5139,1377858497,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5140,"5140,1377858797,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5141,"5141,1377859097,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
5142,"5142,1377859397,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5143,"5143,1377859697,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.1333333333333333,0.0,1.0666666666666669"
5144,"5144,1377859997,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5145,"5145,1377860297,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5146,"5146,1377860597,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5147,"5147,1377860897,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.8,0.0,0.9333333333333332"
5148,"5148,1377861197,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5149,"5149,1377861497,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
5150,"5150,1377861797,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5151,"5151,1377862097,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5152,"5152,1377862397,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5153,"5153,1377862698,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,0.9333333333333332"
5154,"5154,1377862998,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0666666666666669"
5155,"5155,1377863298,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
5156,"5156,1377863598,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5157,"5157,1377863898,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5158,"5158,1377864198,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5159,"5159,1377864498,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,89478.4,0.0,0.5333333333333333,0.0,1.0"
5160,"5160,1377864798,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,44739.2,0.0,0.6,0.0,1.0"
5161,"5161,1377865098,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5162,"5162,1377865398,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5163,"5163,1377865698,4,11703.99824,138.49731250666667,1.1833333333333331,67108864.0,447392.0,131.33333333333334,21.6,0.0,1.4"
5164,"5164,1377865998,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,447392.0,0.0,3.6,0.0,1.0"
5165,"5165,1377866298,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,223696.0,32.666666666666664,4.0,0.0,1.0"
5166,"5166,1377866598,4,11703.99824,81.92798768,0.7,67108864.0,268435.2,0.0,1.1333333333333333,0.0666666666666666,1.0666666666666669"
5167,"5167,1377866898,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5168,"5168,1377867198,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5169,"5169,1377867498,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6,0.0,1.0"
5170,"5170,1377867798,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5171,"5171,1377868098,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5172,"5172,1377868398,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.4,0.0,1.0"
5173,"5173,1377868698,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5174,"5174,1377868998,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5175,"5175,1377869298,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,89478.4,0.0,0.5333333333333333,0.0,1.0"
5176,"5176,1377869598,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,44739.2,0.0,0.6,0.0,1.0"
5177,"5177,1377869898,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.9333333333333332,0.0666666666666666,1.0666666666666669"
5178,"5178,1377870198,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5179,"5179,1377870498,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
5180,"5180,1377870798,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5181,"5181,1377871098,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5182,"5182,1377871398,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0"
5183,"5183,1377871698,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5184,"5184,1377871998,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
5185,"5185,1377872299,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
5186,"5186,1377872599,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,1.0,0.0,1.0"
5187,"5187,1377872899,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5188,"5188,1377873199,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.1333333333333333,0.0,1.0666666666666669"
5189,"5189,1377873499,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5190,"5190,1377873799,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5191,"5191,1377874099,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5192,"5192,1377874399,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5193,"5193,1377874699,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5194,"5194,1377874999,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6,0.0,1.0"
5195,"5195,1377875299,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.8,0.0,1.0"
5196,"5196,1377875599,4,11703.99824,1174.3011567466667,10.033333333333331,67108864.0,0.0,2.533333333333333,1.8,139.4,10.066666666666666"
5197,"5197,1377875899,4,11703.99824,5210.229883173334,44.51666666666667,67108864.0,1879046.4,7.6,5.466666666666667,372.9333333333333,27.73333333333333"
5198,"5198,1377876199,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,984262.4,0.0,0.8,0.0,1.0"
5199,"5199,1377876499,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5200,"5200,1377876799,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
5201,"5201,1377877099,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
